Name;Sector;Ticker;Country,
Compañía de Transporte de Energía Eléctrica en Alta Tensión Transener S.A.;Utilities;TRAN.BA;Argentina,
Cisco Systems Inc.;Information Technology;CSCO.BA;Argentina, 
Sociedad Comercial del Plata S.A.;Industrials;COME.BA;Argentina,
Banco Hipotecario S.A.;Financials;BHIP.BA;Argentina,
Rigolleau S.A.;Consumer Defensive;RIGO.BA;Argentina,
Ledesma Sociedad Anónima Agrícola Industrial;Consumer Defensive;LEDE.BA;Argentina,
Grupo Clarín S.A.;Consumer Discretionary;GCLA.BA;Argentina,
Molinos Rio de la Plata S.A.;Consumer Defensive;MOLI.BA;Argentina,
Transportadora de Gas del Norte S.A.;Utilities;TGNO4.BA;Argentina,
The Home Depot Inc.;Consumer Discretionary;HD.BA;Argentina,
Ferrum Sociedad Anonima de Ceramica y Metalurgia;Materials;FERR.BA;Argentina,
S.A. San Miguel A.G.I.C.I. y F.;Consumer Defensive;SAMI.BA;Argentina,
Molinos Juan Semino S.A.;Consumer Defensive;SEMI.BA;Argentina,
The Coca-Cola Company;Consumer Defensive;KO.BA;Argentina,
Kimberly-Clark Corporation;Consumer Defensive;KMB.BA;Argentina,
Newmont Mining Corporation;Materials;NEM.BA;Argentina,
NIKE Inc.;Consumer Discretionary;NKE.BA;Argentina,
Banco Santander Rio S.A.;Financials;BRIO6.BA;Argentina,
Banco Santander Rio S.A.;Financials;BRIO.BA;Argentina,
Agrometal S.A.I.;Industrials;AGRO.BA;Argentina,
Consultatio S.A.;Financials;CTIO.BA;Argentina,
QUALCOMM Incorporated;Materials;QCOM.BA;Argentina,
VALE S.A. CEDEAR;Financials;VALE.BA;Argentina,
TGLT S.A.;Financials;TGLT.BA;Argentina,
AT&T Inc.;Communication Services;T.BA;Argentina,
Wal-Mart Stores Inc.;Consumer Discretionary;WMT.BA;Argentina,
The Walt Disney Company;Consumer Discretionary;DISN.BA;Argentina,
Garovaglio y Zorraquín S.A.;Industrials;GARO.BA;Argentina,
Apple Inc.;Information Technology;AAPL.BA;Argentina,
CREDIT SUISSE GP CEDEAR;Financials;CS.BA;Argentina,
NOVARTIS AG CEDEAR;Healthcare;NVS.BA;Argentina,
SIEMENS AG CEDEAR;Information Technology;SIEGY.BA;Argentina,
Insumos Agroquímicos S.A.;Industrials;INAG.BA;Argentina,
Grupo Financiero Valores S.A.;Financials;VALO.BA;Argentina,
Compañía Introductora de Buenos Aires Sociedad Anónima;Consumer Defensive;INTR.BA;Argentina,
American International Group Inc.;Consumer Discretionary;AIG.BA;Argentina,
Alphabet Inc.;Communication Services;GOOGL.BA;Argentina,
Altria Group Inc.;Consumer Defensive;MO.BA;Argentina,
Aluar Aluminio Argentino S.A.I.C.;Materials;ALUA.BA;Argentina,
American Express Company;Financials;AXP.BA;Argentina,
Intel Corporation;Materials;INTC.BA;Argentina,
International Business Machines Corporation;Information Technology;IBM.BA;Argentina,
Carboclor S.A.;Industrials;CARC.BA;Argentina,
Banco Patagonia S.A.;Financials;BPAT.BA;Argentina,
Polledo S.A.I.C. y F.;Industrials;POLL.BA;Argentina,
The Procter & Gamble Company;Consumer Defensive;PG.BA;Argentina,
Pampa Energía S.A.;Utilities;PAMP.BA;Argentina,
Morixe Hermanos S.A.C. e I.;Consumer Defensive;MORI.BA;Argentina,
3M Company;Industrials;MMM.BA;Argentina,
Bank of China;Financials;3988.HK;China,
China Construction Bank;Financials;0939.HK;China,
China Life Insurance Company;Financials;2628.HK;China,
China Merchants Bank;Financials;3968.HK;China,
China Mobile;Communication Services;0941.HK;China,
China Overseas Land and Investment;Real Estate;0688.HK;China,
China Petroleum & Chemical;Energy;0386.HK;China,
CNOOC Limited;Energy;0883.HK;China,
